vivoscuola institute link;name;school link
https://www.vivoscuola.it/content/view/full/29977;scuola dell'infanzia di cles;https://www.vivoscuola.it/content/view/full/29978
https://www.vivoscuola.it/content/view/full/30195;scuola dell'infanzia di trento la clarina;https://www.vivoscuola.it/content/view/full/30196
https://www.vivoscuola.it/content/view/full/29631;"scuola primaria ""a. zadra"" rione degasperi riva del garda";https://www.vivoscuola.it/content/view/full/29632
https://www.vivoscuola.it/content/view/full/29631;"scuola primaria ""g. fedrigoni"" varone riva del garda";https://www.vivoscuola.it/content/view/full/29633
https://www.vivoscuola.it/content/view/full/29631;"scuola primaria ""o. lucchi"" tenno";https://www.vivoscuola.it/content/view/full/29634
https://www.vivoscuola.it/content/view/full/29631;"scuola secondaria di primo grado ""s. sighele"" riva del garda";https://www.vivoscuola.it/content/view/full/29635
https://www.vivoscuola.it/content/view/full/30181;"scuola dell'infanzia di trento  ""pedrotti""";https://www.vivoscuola.it/content/view/full/30182
https://www.vivoscuola.it/content/view/full/29717;"scuola primaria ""g. b. righi"" madonna di campiglio";https://www.vivoscuola.it/content/view/full/29718
https://www.vivoscuola.it/content/view/full/29717;"scuola primaria ""n. bolognini"" pinzolo";https://www.vivoscuola.it/content/view/full/29719
https://www.vivoscuola.it/content/view/full/29717;"scuola primaria ""s. massari"" spiazzo";https://www.vivoscuola.it/content/view/full/29720
https://www.vivoscuola.it/content/view/full/29717;"scuola primaria ""t. giustina"" caderzone";https://www.vivoscuola.it/content/view/full/29721
